"name","crop","symptoms","disease_type","favorable_temp_min","favorable_temp_max","favorable_humidity","treatment","severity"
"Sugarcane Smut","Sugarcane","black whip-like structure from growing point;stunted cane growth;thin tillers","Fungal",25,30,70,"Use disease-free setts; rogue out infected clumps early; grow resistant varieties.","Medium"
"Chilli Anthracnose","Chilli","sunken dark spots on fruit;concentric rings on lesions;fruit rot;premature fruit drop","Fungal",25,30,85,"Spray Carbendazim or Mancozeb fungicide; avoid overhead irrigation; harvest at proper maturity.","Medium"
"Chilli Leaf Curl Virus","Chilli","upward and downward leaf curling;leaf thickening;stunted plant growth","Viral",28,35,55,"Control whitefly vector with Imidacloprid; remove infected plants; use resistant varieties.","High"
"Groundnut Tikka Leaf Spot","Groundnut","circular brown spots on leaves;yellow halo around spots;premature leaf fall","Fungal",25,30,80,"Apply Chlorothalonil or Mancozeb fungicide; practice crop rotation; avoid dense planting.","Medium"
"Groundnut Bud Necrosis Virus","Groundnut","necrotic ring spots on leaves;bud necrosis;stunted plant growth","Viral",25,32,60,"Control thrips vector using Imidacloprid; remove infected plants; use resistant varieties.","High"
"Soybean Rust","Soybean","small reddish-brown pustules on leaves;yellowing of leaves;premature defoliation","Fungal",20,28,85,"Apply Tebuconazole or Propiconazole fungicide; use resistant varieties; avoid dense canopy.","Medium"
"Onion Purple Blotch","Onion","purple-brown lesions on leaves;concentric rings on lesions;leaf tip dieback","Fungal",21,27,80,"Spray Mancozeb fungicide; avoid overhead irrigation; ensure proper field drainage.","Medium"
"Banana Panama Wilt","Banana","yellowing of older leaves;splitting of pseudostem;wilting of leaves;internal stem discoloration","Fungal",25,30,75,"Use disease-free planting material; improve field drainage; avoid planting in infected soil.","High"
"Banana Bunchy Top Virus","Banana","bunched and stunted leaves at top;dark green streaks on veins;narrow upright leaves","Viral",25,30,65,"Control aphid vector; remove and destroy infected plants; use virus-free planting material.","High"
"Mustard Aphid Infestation","Mustard","curling of leaves;sticky honeydew on leaves;sooty mold growth;stunted plant growth","Pest",15,25,60,"Spray Imidacloprid or neem oil; encourage natural predators; remove heavily infested shoots early.","Medium"
